Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Regular,FDQ08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.018839,15.7,62.95,5.0
Low Fat,DRL11,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.048116,10.5,159.09,5.0
Low Fat,FDT34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.174621,9.3,104.3,5.0
Regular,FDP01,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,0.105995,20.75,150.57,5.0
Low Fat,NCJ31,Others,2014,OUT013,Tier 3,High,Supermarket Type1,0.182502,19.2,239.22,5.0
Low Fat,NCL30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.048931,18.1,127.33,5.0
Low Fat,FDF04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.013658,17.5,256.33,5.0
Low Fat,NCZ42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.011305,10.5,235.52,5.0
Low Fat,FDG24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.014654,7.975,82.42,5.0
Low Fat,FDV49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.025867,10.0,264.62,5.0
Low Fat,FDX01,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.024202,10.1,114.92,5.0
Low Fat,DRF27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028461,8.93,152.23,5.0
Low Fat,FDF16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.086266,7.3,147.21,5.0
Low Fat,FDU04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.005557,7.93,122.14,5.0
Low Fat,FDP04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.013834,15.35,62.72,5.0
Low Fat,FDD05,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.016637,19.35,120.91,5.0
Low Fat,FDV07,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.031332,9.5,111.12,5.0
Low Fat,FDT20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.04146,10.5,39.22,5.0
Low Fat,FDC44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.073719,15.6,111.95,5.0
Low Fat,DRM59,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.003598,5.88,153.9,5.0
Low Fat,DRG23,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.086916,8.88,153.37,5.0
Low Fat,NCJ29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.035248,10.6,84.72,5.0
Low Fat,NCM42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028366,6.13,110.09,5.0
Low Fat,NCY42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.015186,6.38,144.95,5.0
Low Fat,NCX54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.048135,9.195,107.76,5.0
Low Fat,NCI06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.047792,11.3,180.77,5.0
Low Fat,NCQ02,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.007468,12.6,186.96,5.0
Low Fat,NCR38,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.113695,17.25,253.47,5.0
Low Fat,NCM30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0674,19.1,41.98,5.0
Low Fat,FDK43,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026882,9.8,126.3,5.0
Low Fat,FDK21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.010028,7.905,249.64,5.0
Low Fat,FDR45,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028988,10.8,239.22,5.0
Low Fat,FDV09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.020601,12.1,147.57,5.0
Regular,FDU12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.075869,15.5,261.76,5.0
Regular,FDZ47,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.07942,20.7,99.8,5.0
Regular,FDO11,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.030312,8.0,247.41,5.0
Regular,FDU49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.030742,19.5,85.55,5.0
Regular,FDA02,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.029769,14.0,145.48,5.0
Regular,FDV26,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.076701,20.25,194.28,5.0
Regular,FDA04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.066834,11.3,257.3,5.0
Regular,FDO52,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.077285,11.6,172.41,5.0
Regular,FDA40,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.099426,16.0,87.09,5.0
Regular,FDS27,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.012478,10.195,197.11,5.0
Regular,FDU15,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026643,13.65,37.95,5.0
Regular,FDV33,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.027386,9.6,259.23,5.0
Regular,FDV34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.011443,10.695,73.5,5.0
Regular,FDX46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.058207,12.3,59.16,5.0
Low Fat,NCA53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.009894,11.395,50.3,5.0
Regular,FDT24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.186148,12.35,78.23,5.0
Regular,FDX27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.114295,20.7,94.94,5.0
Low Fat,NCQ38,Others,2018,OUT019,Tier 1,Small,Grocery Store,0.023403,16.35,108.23,5.0
Low Fat,FDK02,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.196491,12.5,120.54,5.0
Low Fat,FDI15,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.24749,13.8,263.19,5.0
Low Fat,FDE09,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.037825,8.775,109.72,5.0
Low Fat,FDS55,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.142108,7.02,150.37,5.0
Low Fat,FDZ56,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.045062,16.25,167.55,5.0
Low Fat,NCA05,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.044,20.75,148.27,5.0
Low Fat,NCK29,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.058958,5.615,123.47,5.0
Low Fat,NCU29,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.044608,7.685,145.98,5.0
Low Fat,NCX41,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.031024,19.0,210.52,5.0
Low Fat,NCG07,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.091924,12.3,189.75,5.0
Low Fat,NCI30,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.103188,20.25,244.35,5.0
Low Fat,NCR54,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.158563,16.35,194.71,5.0
Low Fat,NCT06,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.067824,17.1,167.78,5.0
Low Fat,FDN15,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.029299,17.5,140.32,5.0
Low Fat,FDJ45,Seafood,2018,OUT019,Tier 1,Small,Grocery Store,0.128533,17.75,34.22,5.0
Regular,FDL13,Breakfast,2018,OUT019,Tier 1,Small,Grocery Store,0.098607,13.85,232.73,5.0
Regular,FDL02,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.182237,20.0,107.16,5.0
Regular,FDF56,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.209163,16.7,179.2,5.0
Regular,FDQ27,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.077481,5.19,101.4,5.0
Regular,FDG35,Starchy Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.012328,21.2,173.87,5.0
Regular,FDD38,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.014343,16.75,103.77,5.0
Regular,FDE41,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.069804,9.195,83.76,5.0
Low Fat,FDP24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.083004,20.6,119.48,5.0
Low Fat,FDH38,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.010438,6.425,115.88,5.0
Low Fat,FDT49,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.151406,7.0,107.73,5.0
Low Fat,FDN02,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.073828,16.5,208.86,5.0
Low Fat,DRF27,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.028417,8.93,154.53,5.0
Low Fat,FDT02,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.024195,12.6,36.19,5.0
Low Fat,FDF05,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.026871,17.5,264.49,5.0
Low Fat,FDI45,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.037581,13.1,175.51,5.0
Low Fat,FDZ20,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.034307,16.1,252.34,5.0
Low Fat,NCC42,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.044908,15.0,140.28,5.0
Low Fat,NCQ53,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.018905,17.6,234.66,5.0
Low Fat,NCR54,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.090562,16.35,198.21,5.0
Low Fat,NCX06,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.015687,17.6,182.7,5.0
Low Fat,NCO06,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.10803,19.25,32.46,5.0
Low Fat,NCN54,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.021326,20.35,76.13,5.0
Low Fat,FDL27,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.010631,6.17,65.98,5.0
Low Fat,FDV51,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.032539,16.35,165.78,5.0
Low Fat,FDC46,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.116542,17.7,182.63,5.0
Low Fat,FDZ58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.052177,17.85,122.81,5.0
Low Fat,FDN21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.076856,18.6,161.02,5.0
Low Fat,FDO58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.039577,19.6,166.15,5.0
Low Fat,DRD24,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.030795,13.85,143.32,5.0
Low Fat,DRI37,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.107598,15.85,58.79,5.0
Regular,FDI12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.100399,9.395,89.69,5.0
Regular,FDP12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.045267,9.8,36.99,5.0
Regular,FDO01,Breakfast,2016,OUT046,Tier 1,Small,Supermarket Type1,0.020719,21.1,130.5,5.0
Regular,FDZ37,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.019769,8.1,88.62,5.0
Regular,FDJ15,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.023322,11.35,182.56,5.0
Regular,FDM04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.047121,9.195,53.17,5.0
Regular,FDI40,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.125603,11.5,100.84,5.0
Regular,FDX04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.041572,19.6,49.94,5.0
Regular,FDS15,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.078061,9.195,106.36,5.0
Regular,FDJ57,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,0.021574,7.42,184.66,5.0
Regular,FDG21,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1463,17.35,150.4,5.0
Regular,FDW21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.005964,5.34,99.54,5.0
Regular,FDX10,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.123711,6.385,37.19,5.0
Low Fat,DRI51,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.076701,17.25,171.58,5.0
Low Fat,NCZ17,Health and Hygiene,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.058958,12.15,39.15,5.0
Low Fat,DRE25,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.073698,15.35,91.91,5.0
Low Fat,FDT60,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.075702,12.0,124.64,5.0
Low Fat,FDN24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.113497,14.1,56.2,5.0
Low Fat,FDO37,Breakfast,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.02142,8.06,232.03,5.0
Low Fat,FDI14,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.08986,14.1,140.25,5.0
Low Fat,FDW37,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.124302,19.2,89.75,5.0
Low Fat,DRC27,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.05822,13.8,247.48,5.0
Low Fat,FDK16,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.115564,9.065,96.01,5.0
Low Fat,FDK41,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.1278,14.3,83.62,5.0
Low Fat,FDY31,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.043651,5.98,146.14,5.0
Low Fat,FDT20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.041479,10.5,36.82,5.0
Low Fat,FDI45,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.037657,13.1,175.81,5.0
Low Fat,FDG57,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.072445,14.7,48.6,5.0
Low Fat,FDN32,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.015592,17.5,184.83,5.0
Low Fat,FDX19,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.09693,19.1,233.9,5.0
Low Fat,FDP20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.045762,19.85,125.6,5.0
Low Fat,NCR17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.024433,9.8,116.45,5.0
Low Fat,NCT17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.041951,10.8,190.02,5.0
Low Fat,NCU05,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.058855,11.8,79.16,5.0
Low Fat,NCT42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.024938,5.88,148.44,5.0
Low Fat,NCV18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.105459,6.775,84.62,5.0
Low Fat,NCH43,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.070712,8.42,216.42,5.0
Low Fat,NCE18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.021469,10.0,251.68,5.0
Low Fat,NCC18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.17763,19.1,173.94,5.0
Low Fat,NCJ42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.01433,19.75,104.23,5.0
Low Fat,FDQ10,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.033247,12.85,172.44,5.0
Low Fat,FDL34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.041029,16.0,142.65,5.0
Low Fat,DRK37,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.069264,5.0,189.85,5.0
Low Fat,DRF48,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.051907,5.73,188.19,5.0
Low Fat,DRG49,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.067592,7.81,246.05,5.0
Low Fat,FDX60,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.08105,14.35,79.2,5.0
Low Fat,FDS13,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.12521,6.465,266.89,5.0
Low Fat,FDC50,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.13727,15.85,94.41,5.0
Low Fat,FDK51,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.005265,19.85,264.59,5.0
Low Fat,FDD17,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.032812,7.5,239.69,5.0
Low Fat,FDJ28,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.021985,12.3,191.22,5.0
Low Fat,FDP16,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.039517,18.6,243.68,5.0
Low Fat,FDB20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.052275,7.72,79.2,5.0
Low Fat,FDP56,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.046747,8.185,49.97,5.0
Low Fat,FDT43,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.020664,16.35,50.83,5.0
Low Fat,DRI59,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.041066,9.5,223.51,5.0
Low Fat,DRN47,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.016922,12.1,178.37,5.0
Low Fat,DRM23,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.136501,16.6,173.34,5.0
Low Fat,NCN53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.030527,5.175,33.59,5.0
Low Fat,NCT53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.048388,5.4,163.05,5.0
Low Fat,NCQ05,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.058958,11.395,149.27,5.0
Low Fat,NCM53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.052335,18.75,108.13,5.0
Low Fat,NCX42,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.006012,6.36,163.05,5.0
Low Fat,NCT18,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.059741,14.6,179.7,5.0
Low Fat,NCI30,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.059269,20.25,246.45,5.0
Low Fat,NCE54,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.027052,20.7,73.94,5.0
Low Fat,FDH19,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.033276,19.35,173.87,5.0
Low Fat,FDT03,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.010055,21.25,183.16,5.0
Low Fat,NCN19,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.012168,13.1,190.25,5.0
Low Fat,NCQ43,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.111931,17.75,108.89,5.0
Low Fat,FDK09,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.092282,15.2,227.24,5.0
Low Fat,FDV46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.012679,18.2,139.82,5.0
Low Fat,FDY46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.048161,18.6,188.99,5.0
Regular,FDK26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.032243,5.46,187.62,5.0
Regular,FDI50,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.030905,8.42,227.64,5.0
Regular,FDB26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.031331,14.0,52.36,5.0
Regular,FDY49,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.012036,17.2,165.72,5.0
Regular,FDB04,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.063355,11.35,88.99,5.0
Regular,FDA02,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.029783,14.0,146.38,5.0
Regular,FDZ28,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.051597,20.0,128.07,5.0
Regular,FDE17,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.054566,20.1,152.24,5.0
Regular,FDQ19,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.014394,7.35,241.35,5.0
Regular,FDM08,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.053693,10.1,222.91,5.0
Regular,FDP03,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.061301,5.15,122.14,5.0
Regular,FDU58,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.070866,6.61,186.49,5.0
Regular,FDU46,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.011149,10.3,84.85,5.0
Regular,FDY34,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.011004,10.5,167.18,5.0
Regular,FDO09,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.125529,13.5,262.19,5.0
Regular,FDP48,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.044272,7.52,181.4,5.0
Regular,FDI12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.100967,9.395,86.89,5.0
Regular,FDY12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.141406,9.8,50.0,5.0
Regular,FDX48,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.038102,17.75,154.07,5.0
Regular,FDV60,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.118025,20.2,195.81,5.0
